Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 4046772k(3155288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-06-06T09:46:57.207+0000: 249.250: [GC (Allocation Failure) [PSYoungGen: 473319K->576K(582144K)] 744620K->271893K(1980416K), 0.0062979 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2017-06-06T09:47:05.567+0000: 257.610: [GC (Allocation Failure) [PSYoungGen: 473362K->480K(603648K)] 744679K->271829K(2001920K), 0.0072081 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:47:14.491+0000: 266.534: [GC (Allocation Failure) [PSYoungGen: 502023K->576K(596992K)] 773372K->271949K(1995264K), 0.0082456 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2017-06-06T09:47:24.793+0000: 276.836: [GC (Allocation Failure) [PSYoungGen: 502309K->512K(616448K)] 773682K->271929K(2014720K), 0.0062799 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:47:35.354+0000: 287.397: [GC (Allocation Failure) [PSYoungGen: 528230K->640K(610304K)] 799647K->272117K(2008576K), 0.0078674 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:47:45.174+0000: 297.218: [GC (Allocation Failure) [PSYoungGen: 528454K->512K(627712K)] 799931K->272029K(2025984K), 0.0088884 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:47:55.208+0000: 307.252: [GC (Allocation Failure) [PSYoungGen: 551620K->576K(622592K)] 823137K->272117K(2020864K), 0.0081882 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:48:05.514+0000: 317.558: [GC (Allocation Failure) [PSYoungGen: 551847K->576K(637952K)] 823388K->272149K(2036224K), 0.0069436 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2017-06-06T09:48:15.116+0000: 327.159: [GC (Allocation Failure) [PSYoungGen: 572116K->544K(632832K)] 843689K->272177K(2031104K), 0.0077239 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:48:24.554+0000: 336.597: [GC (Allocation Failure) [PSYoungGen: 572356K->416K(646144K)] 843989K->272065K(2044416K), 0.0065227 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-06-06T09:48:34.992+0000: 347.035: [GC (Allocation Failure) [PSYoungGen: 589728K->704K(642048K)] 861377K->272361K(2040320K), 0.0113473 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-06-06T09:48:45.555+0000: 357.598: [GC (Allocation Failure) [PSYoungGen: 589539K->416K(653824K)] 861196K->272089K(2052096K), 0.0078180 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:48:56.452+0000: 368.495: [GC (Allocation Failure) [PSYoungGen: 605264K->416K(650240K)] 876937K->272121K(2048512K), 0.0083785 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:49:07.210+0000: 379.253: [GC (Allocation Failure) [PSYoungGen: 605548K->704K(660480K)] 877253K->272425K(2058752K), 0.0076282 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:49:19.051+0000: 391.094: [GC (Allocation Failure) [PSYoungGen: 619638K->640K(657408K)] 891359K->272389K(2055680K), 0.0079232 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:49:31.158+0000: 403.201: [GC (Allocation Failure) [PSYoungGen: 619306K->576K(666112K)] 891055K->272357K(2064384K), 0.0094924 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2017-06-06T09:49:43.993+0000: 416.036: [GC (Allocation Failure) [PSYoungGen: 631351K->576K(663552K)] 903132K->272389K(2061824K), 0.0082099 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:49:56.272+0000: 428.315: [GC (Allocation Failure) [PSYoungGen: 631360K->736K(671232K)] 903173K->272581K(2069504K), 0.0094988 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:50:07.298+0000: 439.341: [GC (Allocation Failure) [PSYoungGen: 641479K->576K(668672K)] 913324K->272437K(2066944K), 0.0140951 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:50:17.644+0000: 449.687: [GC (Allocation Failure) [PSYoungGen: 641600K->480K(675328K)] 913461K->272369K(2073600K), 0.0114540 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:50:28.083+0000: 460.126: [GC (Allocation Failure) [PSYoungGen: 649914K->576K(673280K)] 921803K->272481K(2071552K), 0.0082238 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
